# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0865-v0M1_gene_tas.txt -m 8 -s 1000
#FDR Corrected thresholds: 0.993 0.031
#MH Acceptance-Rate:	33.39%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.814507
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00835	27	95	7	97	0.000000	NE
cds_SP5448_00840	7	42	12	145	0.001000	NE
cds_SP5448_00845	21	75	12	179	0.001000	NE
cds_SP5448_00850	12	62	11	175	0.001000	NE
cds_SP5448_00855	16	71	14	138	0.001000	NE
cds_SP5448_00860	8	57	16	348	0.094000	U
cds_SP5448_00865	1	23	21	517	0.714000	U
cds_SP5448_00870	20	97	21	294	0.025000	NE
cds_SP5448_00875	9	54	21	197	0.001000	NE
cds_SP5448_00880	31	126	16	161	0.001000	NE
cds_SP5448_00885	8	35	9	91	0.001000	NE
cds_SP5448_00890	0	15	15	223	0.946000	U
cds_SP5448_00900	2	11	6	56	-1.000000	S
cds_SP5448_00905	14	78	12	247	0.001000	NE
cds_SP5448_00910	1	115	114	2485	1.000000	E
cds_SP5448_00915	12	71	14	237	0.001000	NE
cds_SP5448_00920	4	17	10	157	0.001000	NE
cds_SP5448_00925	8	33	5	34	0.000000	NE
cds_SP5448_00930	3	28	19	511	0.493000	U
cds_SP5448_00935	15	40	8	147	0.000000	NE
cds_SP5448_00940	7	32	7	121	0.000000	NE
cds_SP5448_00945	29	127	16	220	0.001000	NE
cds_SP5448_00950	12	74	19	205	0.001000	NE
cds_SP5448_00955	12	63	10	98	0.001000	NE
cds_SP5448_00960	21	106	31	578	0.350000	U
cds_SP5448_00965	9	160	49	941	0.946000	U
cds_SP5448_00970	6	24	7	86	0.000000	NE
cds_SP5448_00975	5	34	8	106	0.000000	NE
cds_SP5448_00980	5	16	4	51	0.000000	NE
cds_SP5448_00985	33	128	26	262	0.006000	NE
cds_SP5448_00990	19	48	7	114	0.000000	NE
cds_SP5448_00995	4	8	3	93	-1.000000	S
cds_SP5448_01000	7	16	4	33	0.000000	NE
cds_SP5448_01005	13	49	9	84	0.001000	NE
cds_SP5448_01010	3	10	2	13	0.000000	NE
cds_SP5448_01015	11	76	19	283	0.020000	NE
cds_SP5448_01020	11	53	13	263	0.005000	NE
cds_SP5448_01025	11	58	10	178	0.001000	NE
cds_SP5448_01030	11	39	8	89	0.000000	NE
cds_SP5448_01035	16	74	9	73	0.000000	NE
cds_SP5448_01045	12	60	10	117	0.001000	NE
cds_SP5448_01050	3	18	7	163	0.000000	NE
cds_SP5448_01055	3	40	19	266	0.019000	NE
cds_SP5448_01060	9	45	15	249	0.004000	NE
cds_SP5448_01065	0	27	27	509	0.863000	U
cds_SP5448_01070	32	86	9	179	0.000000	NE
cds_SP5448_01075	24	80	9	60	0.000000	NE
cds_SP5448_01085	0	75	75	1341	1.000000	E
cds_SP5448_01090	31	128	14	110	0.001000	NE
cds_SP5448_01095	15	46	7	65	0.000000	NE
cds_SP5448_01100	8	32	9	116	0.001000	NE
cds_SP5448_01105	1	3	2	66	-1.000000	S
cds_SP5448_01115	10	57	23	324	0.324000	U
cds_SP5448_01120	0	58	58	879	0.995000	E
cds_SP5448_01125	1	70	53	741	0.989000	U
cds_SP5448_01130	6	35	11	140	0.001000	NE
cds_SP5448_01135	13	115	23	459	0.099000	U
cds_SP5448_01140	17	105	27	539	0.210000	U
cds_SP5448_01145	9	40	8	137	0.000000	NE
cds_SP5448_01150	2	26	16	208	0.001000	NE
cds_SP5448_01155	13	75	10	215	0.001000	NE
cds_SP5448_01160	0	27	27	491	0.860000	U
cds_SP5448_01165	12	50	7	85	0.000000	NE
cds_SP5448_01170	2	80	57	1064	0.996000	E
cds_SP5448_01175	38	122	10	105	0.000000	NE
cds_SP5448_01180	35	131	28	291	0.054000	U
cds_SP5448_01185	21	61	8	65	0.000000	NE
cds_SP5448_01190	0	19	19	347	0.872000	U
cds_SP5448_01195	4	47	21	344	0.286000	U
cds_SP5448_01200	1	48	28	609	0.698000	U
cds_SP5448_01205	0	11	11	126	-1.000000	S
cds_SP5448_01210	7	41	8	80	0.000000	NE
cds_SP5448_01215	12	67	17	271	0.001000	NE
cds_SP5448_01220	13	61	11	131	0.001000	NE
cds_SP5448_01225	10	50	10	239	0.001000	NE
cds_SP5448_01230	10	54	16	167	0.001000	NE
cds_SP5448_01235	20	68	10	150	0.001000	NE
cds_SP5448_01240	19	65	9	83	0.000000	NE
cds_SP5448_01245	14	53	12	238	0.001000	NE
cds_SP5448_01250	8	44	15	177	0.001000	NE
cds_SP5448_01255	8	35	10	156	0.001000	NE
cds_SP5448_01260	5	38	16	341	0.167000	U
cds_SP5448_01270	0	56	56	864	0.999000	E
cds_SP5448_01275	1	35	26	552	0.710000	U
cds_SP5448_01280	3	44	22	320	0.386000	U
cds_SP5448_01285	6	75	23	427	0.153000	U
cds_SP5448_01290	15	71	19	218	0.001000	NE
cds_SP5448_01295	6	56	15	195	0.001000	NE
cds_SP5448_01300	33	205	27	283	0.006000	NE
cds_SP5448_01305	1	28	22	323	0.738000	U
cds_SP5448_01310	1	30	29	462	0.898000	U
cds_SP5448_01315	0	89	89	2046	1.000000	E
cds_SP5448_01320	0	59	59	1006	0.996000	E
cds_SP5448_01330	0	30	30	735	0.912000	U
cds_SP5448_01335	0	105	105	1521	1.000000	E
cds_SP5448_01340	28	131	13	178	0.001000	NE
cds_SP5448_01345	14	65	17	236	0.001000	NE
cds_SP5448_01350	4	46	16	313	0.136000	U
cds_SP5448_01355	3	92	44	531	0.856000	U
cds_SP5448_01365	4	49	27	431	0.542000	U
cds_SP5448_01370	2	76	63	1037	1.000000	E
cds_SP5448_01375	1	62	45	959	0.987000	U
cds_SP5448_01380	1	23	21	442	0.721000	U
cds_SP5448_01385	0	87	87	1408	1.000000	E
cds_SP5448_01390	28	100	17	189	0.001000	NE
cds_SP5448_01395	32	111	11	106	0.001000	NE
cds_SP5448_01400	19	110	18	232	0.001000	NE
cds_SP5448_01405	24	133	21	285	0.012000	NE
cds_SP5448_01410	14	76	16	242	0.002000	NE
cds_SP5448_01415	8	60	25	405	0.303000	U
cds_SP5448_01420	9	54	15	273	0.010000	NE
cds_SP5448_01425	1	6	4	53	-1.000000	S
cds_SP5448_01435	38	91	11	202	0.001000	NE
cds_SP5448_01440	0	2	2	59	-1.000000	S
cds_SP5448_01445	34	186	16	223	0.001000	NE
cds_SP5448_01450	3	11	5	32	-1.000000	S
cds_SP5448_01455	1	7	6	57	-1.000000	S
cds_SP5448_01460	1	7	4	43	-1.000000	S
cds_SP5448_01465	11	44	10	115	0.001000	NE
cds_SP5448_01470	13	55	15	256	0.004000	NE
cds_SP5448_01475	5	76	28	312	0.345000	U
cds_SP5448_01480	3	31	13	246	0.003000	NE
cds_SP5448_01485	11	41	13	148	0.001000	NE
cds_SP5448_01490	4	69	25	321	0.276000	U
cds_SP5448_01495	5	59	23	584	0.259000	U
cds_SP5448_01500	3	30	21	357	0.547000	U
cds_SP5448_01505	22	91	10	202	0.001000	NE
cds_SP5448_01510	10	61	23	215	0.001000	NE
cds_SP5448_01515	0	3	3	55	-1.000000	S
cds_SP5448_01520	0	48	48	830	0.988000	U
cds_SP5448_01525	1	16	11	111	0.005000	NE
cds_SP5448_01530	25	77	8	109	0.000000	NE
cds_SP5448_01540	1	24	14	184	0.001000	NE
cds_SP5448_01545	1	85	53	1042	0.986000	U
cds_SP5448_01550	7	50	13	232	0.001000	NE
cds_SP5448_01555	15	70	13	226	0.001000	NE
cds_SP5448_01560	0	57	57	1194	0.999000	E
cds_SP5448_01565	10	58	16	161	0.001000	NE
cds_SP5448_01570	3	24	13	167	0.001000	NE
cds_SP5448_01575	2	96	46	713	0.923000	U
cds_SP5448_01580	0	116	116	1674	1.000000	E
cds_SP5448_01585	0	19	19	224	0.961000	U
